Epoch 1/100, train loss:0.717982, valid auc:0.58068, valid acc:0.58909, valid f1:0.72816
Epoch 2/100, train loss:0.776304, valid auc:0.59156, valid acc:0.57994, valid f1:0.71906
Epoch 3/100, train loss:0.681566, valid auc:0.61923, valid acc:0.59391, valid f1:0.73028
Epoch 4/100, train loss:0.631745, valid auc:0.63339, valid acc:0.59806, valid f1:0.73353
Epoch 5/100, train loss:0.607347, valid auc:0.64450, valid acc:0.60045, valid f1:0.73516
Epoch 6/100, train loss:0.589521, valid auc:0.65851, valid acc:0.60227, valid f1:0.73603
Epoch 7/100, train loss:0.575372, valid auc:0.67153, valid acc:0.60498, valid f1:0.73788
Epoch 8/100, train loss:0.562642, valid auc:0.68256, valid acc:0.60311, valid f1:0.73578
Epoch 9/100, train loss:0.555097, valid auc:0.68245, valid acc:0.59941, valid f1:0.73270
Epoch 10/100, train loss:0.551753, valid auc:0.68807, valid acc:0.60194, valid f1:0.73460
Epoch 11/100, train loss:0.546846, valid auc:0.69507, valid acc:0.60083, valid f1:0.73335
Epoch 12/100, train loss:0.540862, valid auc:0.69697, valid acc:0.59947, valid f1:0.73215
Epoch 13/100, train loss:0.540578, valid auc:0.69786, valid acc:0.59847, valid f1:0.73127
Epoch 14/100, train loss:0.528508, valid auc:0.70327, valid acc:0.59991, valid f1:0.73219
Epoch 15/100, train loss:0.520104, valid auc:0.70696, valid acc:0.60049, valid f1:0.73247
Epoch 16/100, train loss:0.516114, valid auc:0.70742, valid acc:0.60052, valid f1:0.73245
Epoch 17/100, train loss:0.512110, valid auc:0.71169, valid acc:0.60045, valid f1:0.73228
Epoch 18/100, train loss:0.511035, valid auc:0.71097, valid acc:0.60075, valid f1:0.73245
Epoch 19/100, train loss:0.509949, valid auc:0.71319, valid acc:0.60145, valid f1:0.73312
Epoch 20/100, train loss:0.507609, valid auc:0.71314, valid acc:0.60172, valid f1:0.73332
Epoch 21/100, train loss:0.508637, valid auc:0.71105, valid acc:0.60200, valid f1:0.73352
Epoch 22/100, train loss:0.503453, valid auc:0.71399, valid acc:0.60265, valid f1:0.73403
Epoch 23/100, train loss:0.500014, valid auc:0.71510, valid acc:0.60194, valid f1:0.73341
Epoch 24/100, train loss:0.496971, valid auc:0.71626, valid acc:0.60317, valid f1:0.73437
Epoch 25/100, train loss:0.494845, valid auc:0.71706, valid acc:0.60181, valid f1:0.73323
Epoch 26/100, train loss:0.492038, valid auc:0.71952, valid acc:0.60303, valid f1:0.73420
Epoch 27/100, train loss:0.490102, valid auc:0.72048, valid acc:0.60165, valid f1:0.73308
Epoch 28/100, train loss:0.487960, valid auc:0.72207, valid acc:0.60232, valid f1:0.73358
Epoch 29/100, train loss:0.486857, valid auc:0.72303, valid acc:0.60267, valid f1:0.73389
Epoch 30/100, train loss:0.485359, valid auc:0.72459, valid acc:0.60419, valid f1:0.73504
Epoch 31/100, train loss:0.484716, valid auc:0.72341, valid acc:0.60473, valid f1:0.73555
Epoch 32/100, train loss:0.484558, valid auc:0.72362, valid acc:0.60453, valid f1:0.73548
Epoch 33/100, train loss:0.483649, valid auc:0.72412, valid acc:0.60492, valid f1:0.73566
Epoch 34/100, train loss:0.483033, valid auc:0.72539, valid acc:0.60411, valid f1:0.73497
Epoch 35/100, train loss:0.481754, valid auc:0.72560, valid acc:0.60498, valid f1:0.73574
Epoch 36/100, train loss:0.480780, valid auc:0.72639, valid acc:0.60608, valid f1:0.73654
Epoch 37/100, train loss:0.480261, valid auc:0.72614, valid acc:0.60471, valid f1:0.73548
Epoch 38/100, train loss:0.480060, valid auc:0.72706, valid acc:0.60616, valid f1:0.73663
Epoch 39/100, train loss:0.479221, valid auc:0.72742, valid acc:0.60671, valid f1:0.73707
Epoch 40/100, train loss:0.478931, valid auc:0.72826, valid acc:0.60616, valid f1:0.73655
Epoch 41/100, train loss:0.483920, valid auc:0.72393, valid acc:0.60581, valid f1:0.73650
