Epoch 1/300, train loss:0.06435, valid auc:0.681318, valid acc:0.58795, valid f1:0.72155
Epoch 2/300, train loss:0.09398, valid auc:0.684063, valid acc:0.58941, valid f1:0.72313
Epoch 3/300, train loss:0.05237, valid auc:0.684862, valid acc:0.58916, valid f1:0.72302
Epoch 4/300, train loss:0.03717, valid auc:0.681419, valid acc:0.58900, valid f1:0.72284
Epoch 5/300, train loss:0.03773, valid auc:0.677563, valid acc:0.58912, valid f1:0.72295
Epoch 6/300, train loss:0.03519, valid auc:0.674430, valid acc:0.58803, valid f1:0.72198
Epoch 7/300, train loss:0.03127, valid auc:0.674263, valid acc:0.58850, valid f1:0.72256
Epoch 8/300, train loss:0.02856, valid auc:0.672505, valid acc:0.58923, valid f1:0.72314
Epoch 9/300, train loss:0.02512, valid auc:0.671321, valid acc:0.58840, valid f1:0.72254
Epoch 10/300, train loss:0.02399, valid auc:0.671756, valid acc:0.58954, valid f1:0.72337
Epoch 11/300, train loss:0.02319, valid auc:0.672364, valid acc:0.59029, valid f1:0.72404
Epoch 1/100, train loss:0.07250, valid auc:0.683441, valid acc:0.58832, valid f1:0.72177
