Epoch 1/100, train loss:0.43963, valid auc:0.679369, valid acc:0.84305, best auc:0.00000
Epoch 2/100, train loss:0.40872, valid auc:0.688395, valid acc:0.84397, best auc:0.67937
Epoch 3/100, train loss:0.40366, valid auc:0.693932, valid acc:0.84465, best auc:0.68840
Epoch 4/100, train loss:0.40090, valid auc:0.697197, valid acc:0.84482, best auc:0.69393
Epoch 5/100, train loss:0.39779, valid auc:0.703106, valid acc:0.84599, best auc:0.69720
Epoch 6/100, train loss:0.39349, valid auc:0.709644, valid acc:0.84719, best auc:0.70311
Epoch 7/100, train loss:0.39007, valid auc:0.714834, valid acc:0.84788, best auc:0.70964
Epoch 8/100, train loss:0.38624, valid auc:0.719486, valid acc:0.84838, best auc:0.71483
Epoch 9/100, train loss:0.38316, valid auc:0.723251, valid acc:0.84892, best auc:0.71949
Epoch 10/100, train loss:0.38012, valid auc:0.725376, valid acc:0.84917, best auc:0.72325
Epoch 11/100, train loss:0.37735, valid auc:0.726612, valid acc:0.84906, best auc:0.72538
Epoch 12/100, train loss:0.37593, valid auc:0.727018, valid acc:0.84921, best auc:0.72661
Epoch 13/100, train loss:0.37388, valid auc:0.727633, valid acc:0.84900, best auc:0.72702
Epoch 14/100, train loss:0.37241, valid auc:0.727774, valid acc:0.84883, best auc:0.72763
Epoch 15/100, train loss:0.37104, valid auc:0.727886, valid acc:0.84823, best auc:0.72777
Epoch 16/100, train loss:0.36954, valid auc:0.727287, valid acc:0.84748, best auc:0.72789
Epoch 17/100, train loss:0.36824, valid auc:0.727635, valid acc:0.84749, best auc:0.72789
Epoch 18/100, train loss:0.36717, valid auc:0.727675, valid acc:0.84770, best auc:0.72789
Epoch 19/100, train loss:0.36583, valid auc:0.727559, valid acc:0.84725, best auc:0.72789
Epoch 20/100, train loss:0.36490, valid auc:0.727130, valid acc:0.84626, best auc:0.72789
Epoch 21/100, train loss:0.36393, valid auc:0.727017, valid acc:0.84618, best auc:0.72789
Epoch 22/100, train loss:0.36208, valid auc:0.727150, valid acc:0.84619, best auc:0.72789
Epoch 23/100, train loss:0.36089, valid auc:0.726461, valid acc:0.84569, best auc:0.72789
Epoch 24/100, train loss:0.35961, valid auc:0.727243, valid acc:0.84560, best auc:0.72789
Epoch 25/100, train loss:0.35857, valid auc:0.727694, valid acc:0.84542, best auc:0.72789
Epoch 26/100, train loss:0.35758, valid auc:0.727756, valid acc:0.84563, best auc:0.72789
Epoch 27/100, train loss:0.35597, valid auc:0.727643, valid acc:0.84467, best auc:0.72789
Epoch 28/100, train loss:0.35460, valid auc:0.728526, valid acc:0.84622, best auc:0.72789
Epoch 29/100, train loss:0.35332, valid auc:0.728601, valid acc:0.84523, best auc:0.72853
Epoch 30/100, train loss:0.35219, valid auc:0.728861, valid acc:0.84541, best auc:0.72860
Epoch 31/100, train loss:0.35073, valid auc:0.728524, valid acc:0.84477, best auc:0.72886
Epoch 32/100, train loss:0.34968, valid auc:0.728727, valid acc:0.84536, best auc:0.72886
Epoch 33/100, train loss:0.34823, valid auc:0.727808, valid acc:0.84304, best auc:0.72886
Epoch 34/100, train loss:0.34688, valid auc:0.728827, valid acc:0.84514, best auc:0.72886
Epoch 35/100, train loss:0.34579, valid auc:0.727929, valid acc:0.84370, best auc:0.72886
Epoch 36/100, train loss:0.34473, valid auc:0.728630, valid acc:0.84359, best auc:0.72886
Epoch 37/100, train loss:0.34298, valid auc:0.728167, valid acc:0.84418, best auc:0.72886
Epoch 38/100, train loss:0.34202, valid auc:0.727342, valid acc:0.84302, best auc:0.72886
Epoch 39/100, train loss:0.34059, valid auc:0.727803, valid acc:0.84363, best auc:0.72886
Epoch 40/100, train loss:0.33949, valid auc:0.727851, valid acc:0.84412, best auc:0.72886
Epoch 41/100, train loss:0.33810, valid auc:0.726945, valid acc:0.84415, best auc:0.72886
Epoch 42/100, train loss:0.33722, valid auc:0.726812, valid acc:0.84374, best auc:0.72886
Epoch 43/100, train loss:0.33624, valid auc:0.726207, valid acc:0.84256, best auc:0.72886
Epoch 44/100, train loss:0.33511, valid auc:0.726379, valid acc:0.84323, best auc:0.72886
Epoch 45/100, train loss:0.33400, valid auc:0.727228, valid acc:0.84571, best auc:0.72886
Epoch 46/100, train loss:0.33279, valid auc:0.725473, valid acc:0.84374, best auc:0.72886
Epoch 47/100, train loss:0.33168, valid auc:0.724872, valid acc:0.84034, best auc:0.72886
Epoch 48/100, train loss:0.33073, valid auc:0.724845, valid acc:0.84236, best auc:0.72886
Epoch 49/100, train loss:0.32934, valid auc:0.724484, valid acc:0.84192, best auc:0.72886
Epoch 50/100, train loss:0.32896, valid auc:0.725449, valid acc:0.84268, best auc:0.72886
Epoch 51/100, train loss:0.32745, valid auc:0.724175, valid acc:0.84246, best auc:0.72886
Epoch 52/100, train loss:0.32693, valid auc:0.724008, valid acc:0.84238, best auc:0.72886
Epoch 53/100, train loss:0.32529, valid auc:0.723351, valid acc:0.84156, best auc:0.72886
Epoch 54/100, train loss:0.32475, valid auc:0.724026, valid acc:0.84292, best auc:0.72886
Epoch 55/100, train loss:0.32388, valid auc:0.723209, valid acc:0.84345, best auc:0.72886
Epoch 56/100, train loss:0.32260, valid auc:0.721569, valid acc:0.83820, best auc:0.72886
Epoch 57/100, train loss:0.32193, valid auc:0.722667, valid acc:0.84155, best auc:0.72886
Epoch 58/100, train loss:0.32112, valid auc:0.721784, valid acc:0.83943, best auc:0.72886
Epoch 59/100, train loss:0.32030, valid auc:0.722208, valid acc:0.84183, best auc:0.72886
Epoch 60/100, train loss:0.31935, valid auc:0.721402, valid acc:0.84005, best auc:0.72886
Epoch 61/100, train loss:0.31856, valid auc:0.721432, valid acc:0.83996, best auc:0.72886
Epoch 62/100, train loss:0.31751, valid auc:0.721400, valid acc:0.84086, best auc:0.72886
Epoch 63/100, train loss:0.31668, valid auc:0.720988, valid acc:0.83966, best auc:0.72886
Epoch 64/100, train loss:0.31586, valid auc:0.719174, valid acc:0.83568, best auc:0.72886
