Epoch 1/100, train loss:0.46207, valid auc:0.617359, valid acc:0.84065, best auc:0.00000
Epoch 2/100, train loss:0.41700, valid auc:0.683216, valid acc:0.84252, best auc:0.61736
Epoch 3/100, train loss:0.40484, valid auc:0.695261, valid acc:0.84369, best auc:0.68322
Epoch 4/100, train loss:0.39934, valid auc:0.702769, valid acc:0.84454, best auc:0.69526
Epoch 5/100, train loss:0.39456, valid auc:0.708985, valid acc:0.84524, best auc:0.70277
Epoch 6/100, train loss:0.38914, valid auc:0.715418, valid acc:0.84665, best auc:0.70898
Epoch 7/100, train loss:0.38301, valid auc:0.720777, valid acc:0.84768, best auc:0.71542
Epoch 8/100, train loss:0.37731, valid auc:0.726572, valid acc:0.84855, best auc:0.72078
Epoch 9/100, train loss:0.37192, valid auc:0.729997, valid acc:0.84953, best auc:0.72657
Epoch 10/100, train loss:0.36634, valid auc:0.732641, valid acc:0.85003, best auc:0.73000
Epoch 11/100, train loss:0.36170, valid auc:0.734886, valid acc:0.85043, best auc:0.73264
Epoch 12/100, train loss:0.35675, valid auc:0.736375, valid acc:0.85015, best auc:0.73489
Epoch 13/100, train loss:0.35215, valid auc:0.736814, valid acc:0.85056, best auc:0.73637
Epoch 14/100, train loss:0.34843, valid auc:0.737902, valid acc:0.85044, best auc:0.73681
Epoch 15/100, train loss:0.34465, valid auc:0.737905, valid acc:0.85022, best auc:0.73790
Epoch 16/100, train loss:0.34083, valid auc:0.738004, valid acc:0.85040, best auc:0.73790
Epoch 17/100, train loss:0.33732, valid auc:0.738021, valid acc:0.85010, best auc:0.73800
Epoch 18/100, train loss:0.33401, valid auc:0.736986, valid acc:0.84991, best auc:0.73802
Epoch 19/100, train loss:0.33081, valid auc:0.737079, valid acc:0.84989, best auc:0.73802
Epoch 20/100, train loss:0.32785, valid auc:0.736354, valid acc:0.84924, best auc:0.73802
Epoch 21/100, train loss:0.32480, valid auc:0.735825, valid acc:0.84923, best auc:0.73802
Epoch 22/100, train loss:0.32193, valid auc:0.736518, valid acc:0.84848, best auc:0.73802
Epoch 23/100, train loss:0.31909, valid auc:0.735319, valid acc:0.84859, best auc:0.73802
Epoch 24/100, train loss:0.31680, valid auc:0.735012, valid acc:0.84750, best auc:0.73802
Epoch 25/100, train loss:0.31412, valid auc:0.734187, valid acc:0.84741, best auc:0.73802
Epoch 26/100, train loss:0.31163, valid auc:0.733345, valid acc:0.84723, best auc:0.73802
Epoch 27/100, train loss:0.30933, valid auc:0.732577, valid acc:0.84732, best auc:0.73802
Epoch 28/100, train loss:0.30716, valid auc:0.731306, valid acc:0.84634, best auc:0.73802
Epoch 29/100, train loss:0.30482, valid auc:0.731318, valid acc:0.84529, best auc:0.73802
Epoch 30/100, train loss:0.30311, valid auc:0.730761, valid acc:0.84575, best auc:0.73802
